set,rank,rank_lo95,rank_hi95,id,name,type,cost,delta_pct,ci95_pct,tier,effect_pct,usable,play_pct,buy_turn,n_pairs
starter1,1,1,1,RUST_SHROOM,러스트 머쉬룸,mon,1,5.63,1.72,◎確実,0.00,○,100.0,,4000
starter1,2,2,5,CASTLE,성,mon,2,2.33,1.78,○有意,0.00,○,100.0,,4000
starter1,3,2,5,STARTER_CHEST,보물상자,starter,1,2.17,1.54,○有意,0.00,○,88.3,,4000
starter1,4,2,6,COUNTERCALC,역산,spell,1,1.73,1.56,○有意,0.00,○,66.0,,4000
starter1,5,2,8,COLLUSION,담합,trap,3,1.30,1.43,－誤差内,0.00,○,99.7,,4000
starter1,6,3,14,HALF_ELF,하프 엘프,mon,2,0.90,1.77,－誤差内,0.00,○,99.7,,4000
starter1,7,6,19,AMBUSH,기습,spell,2,-0.20,1.60,－誤差内,0.00,○,73.7,,4000
starter1,8,6,15,NEGOTIATE,검은 봉인의 거래,spell,1,-0.22,1.39,－誤差内,0.00,✕評価不能,0.0,,4000
starter1,9,7,18,TRICKROOM,트릭룸,spell,3,-0.57,1.39,－誤差内,0.00,✕評価不能,0.0,,4000
starter1,10,7,17,REFRESH_HAND,리프레시,spell,1,-0.63,1.39,－誤差内,0.00,✕評価不能,0.0,,4000
starter1,11,9,19,FOCUS,선택과 집중,spell,2,-0.65,1.39,－誤差内,0.00,✕評価不能,0.0,,4000
starter1,12,10,20,SLUM,슬럼가,spell,2,-0.65,1.39,－誤差内,0.00,✕評価不能,0.0,,4000
starter1,13,9,20,DUNGEON_FLOOR,던전 최하층,spell,4,-0.65,1.39,－誤差内,0.00,✕評価不能,0.0,,4000
starter1,14,6,22,ELF_HAVEN,엘프의 쉼터,spell,3,-0.68,1.67,－誤差内,0.00,○,95.0,,4000
starter1,15,9,21,INCUBATOR_S,부화기,spell,1,-0.80,1.38,－誤差内,0.00,✕評価不能,0.0,,4000
starter1,16,8,21,CHOSEN_AREA,선택받은 영역,spell,7,-0.80,1.41,－誤差内,0.00,✕評価不能,0.0,,4000
